ticket_id,text,category,intent
10000,question about cancelling order {{Order Number}},ORDER,cancel_order
10001,i have a question about cancelling oorder {{Order Number}},ORDER,cancel_order
10002,i need help cancelling puchase {{Order Number}},ORDER,cancel_order
10003,I need to cancel purchase {{Order Number}},ORDER,cancel_order
10004,"I cannot afford this order, cancel purchase {{Order Number}}",ORDER,cancel_order
10005,can you help me cancel order {{Order Number}}?,ORDER,cancel_order
10006,"I can no longer afford order {{Order Number}}, cancel it",ORDER,cancel_order
10007,I am trying to cancel purchase {{Order Number}},ORDER,cancel_order
10008,I have got to cancel purchase {{Order Number}},ORDER,cancel_order
10009,i need help canceling purchase {{Order Number}},ORDER,cancel_order
10010,i dont know what to do to cancel order {{Order Number}},ORDER,cancel_order
10011,I have a problem with cancelling purchase {{Order Number}},ORDER,cancel_order
10012,problem with canceling purchase {{Order Number}},ORDER,cancel_order
10013,can you help me canceling order {{Order Number}}?,ORDER,cancel_order
10014,help  me canceling purchase {{Order Number}},ORDER,cancel_order
10015,can you help me cancel purchase {{Order Number}}?,ORDER,cancel_order
10016,what do I have to do to cancel purchase {{Order Number}}?,ORDER,cancel_order
10017,"I bought the same item twice, cancel order {{Order Number}}",ORDER,cancel_order
10018,need help with canceling order {{Order Number}},ORDER,cancel_order
10019,i want assistance canceling order {{Order Number}},ORDER,cancel_order
10020,I'm trying to cancel order {{Order Number}},ORDER,cancel_order
10021,i have problems with canceling order {{Order Number}},ORDER,cancel_order
10022,assistance with cancelling pucrhase {{Order Number}},ORDER,cancel_order
10023,need help with canceling purchase {{Order Number}},ORDER,cancel_order
10024,help cnceling order {{Order Number}},ORDER,cancel_order
10025,i want assistance cancelling order {{Order Number}},ORDER,cancel_order
10026,need assistance cancelling order {{Order Number}},ORDER,cancel_order
10027,problem with cancelling order {{Order Number}},ORDER,cancel_order
10028,assistnace cancelling order {{Order Number}},ORDER,cancel_order
10029,have a problem with canceling order {{Order Number}},ORDER,cancel_order
10030,i need help with canceling purchase {{Order Number}},ORDER,cancel_order
10031,assistance with cancelling pucrhase {{Order Number}},ORDER,cancel_order
10032,want assistance to cancel order  {{Order Number}},ORDER,cancel_order
10033,i do not know how i can cancel purchase {{Order Number}},ORDER,cancel_order
10034,need assistance to cancel order {{Order Number}},ORDER,cancel_order
10035,can you help me cancel purchase {{Order Number}}?,ORDER,cancel_order
10036,I can no longer afford purchase {{Order Number}},ORDER,cancel_order
10037,i need assistance canceling purchase {{Order Number}},ORDER,cancel_order
10038,I would like to cancel purchase {{Order Number}},ORDER,cancel_order
10039,i do not want these article i try to cancel order {{Order Number}},ORDER,cancel_order
10040,i need help to cancel purchase {{Order Number}},ORDER,cancel_order
10041,I have got to cancel purchase {{Order Number}},ORDER,cancel_order
10042,problems with cancelling order {{Order Number}},ORDER,cancel_order
10043,I need help canceling purchase {{Order Number}},ORDER,cancel_order
10044,assistance canceling purchase {{Order Number}},ORDER,cancel_order
10045,could ya help me cancel order {{Order Number}},ORDER,cancel_order
10046,could you help me cancelling order {{Order Number}} ?,ORDER,cancel_order
10047,cance order {{Order Number}},ORDER,cancel_order
10048,assistance cancelling purchase {{Order Number}},ORDER,cancel_order
10049,assistance with canceling purchase {{Order Number}},ORDER,cancel_order
10050,canceling order {{Order Number}},ORDER,cancel_order
10051,how to cancel order {{Order Number}},ORDER,cancel_order
10052,help me cancelling purchase {{Order Number}},ORDER,cancel_order
10053,have a question about cancelling order {{Order Number}},ORDER,cancel_order
10054,I can't afford purchase {{Order Number}},ORDER,cancel_order
10055,assistance with canceling purchase {{Order Number}},ORDER,cancel_order
10056,"I ordered some item, cancel purchase {{Order Number}}",ORDER,cancel_order
10057,i need help cancelling order {{Order Number}},ORDER,cancel_order
10058,"I can't afford order {{Order Number}}, help me cancelling it",ORDER,cancel_order
10059,I do not know how I can cancel purchase {{Order Number}},ORDER,cancel_order
10060,I try to cancel purchase {{Order Number}},ORDER,cancel_order
10061,problem with cancelling order {{Order Number}},ORDER,cancel_order
10062,"I cannot pay for the last purchase I have made, cancel it",ORDER,cancel_order
10063,help me cancelling purchase {{Order Number}},ORDER,cancel_order
10064,could you help me cancel purchase {{Order Number}}?,ORDER,cancel_order
10065,I want to cancle purchase {{Order Number}},ORDER,cancel_order
10066,help me to cancel my  last goddamn purchase,ORDER,cancel_order
10067,I have a problem witrh cancelling purchase {{Order Number}},ORDER,cancel_order
10068,can  uhelp me canceling order {{Order Number}},ORDER,cancel_order
10069,problems with canceling purchase {{Order Number}},ORDER,cancel_order
10070,I need assistancde cancelling order {{Order Number}},ORDER,cancel_order
10071,"I bought some item, cancel order {{Order Number}}",ORDER,cancel_order
10072,need help with cancelling order {{Order Number}},ORDER,cancel_order
10073,"I can't pay for this item, can I cancel order {{Order Number}}?",ORDER,cancel_order
10074,I need help cacneling order {{Order Number}},ORDER,cancel_order
10075,where could I cancel purchase {{Order Number}}?,ORDER,cancel_order
10076,i bought some damn item help to cancep order {{Order Number}},ORDER,cancel_order
10077,want assistance to cancel order {{Order Number}},ORDER,cancel_order
10078,"I have got to cancel purchase {{Order Number}}, help me",ORDER,cancel_order
10079,whag do i need to do to cancel order {{Order Number}},ORDER,cancel_order
10080,I want assistance canceling order {{Order Number}},ORDER,cancel_order
10081,I can no longer afford purchase {{Order Number}},ORDER,cancel_order
10082,I want assistance to cancel purchase {{Order Number}},ORDER,cancel_order
10083,cancelling order,ORDER,cancel_order
10084,i want help cancelling purchase {{Order Number}},ORDER,cancel_order
10085,what do I have to do to cancel order {{Order Number}}?,ORDER,cancel_order
10086,can you help me to cancel purchase {{Order Number}}?,ORDER,cancel_order
10087,I need help cancelling order {{Order Number}},ORDER,cancel_order
10088,I do not know how I can cancel purchase {{Order Number}},ORDER,cancel_order
10089,i want help to cancel purchase {{Order Number}},ORDER,cancel_order
10090,how do i cancel order {{Order Number}},ORDER,cancel_order
10091,"I bought some articles, help me to cancel order {{Order Number}}",ORDER,cancel_order
10092,need assistance cancelling order {{Order Number}},ORDER,cancel_order
10093,where to cancel purchase {{Order Number}},ORDER,cancel_order
10094,I want help canceling order {{Order Number}},ORDER,cancel_order
10095,I want help cancellkng purchase {{Order Number}},ORDER,cancel_order
10096,I need help with cancelling order {{Order Number}},ORDER,cancel_order
10097,I want assistance to cancel order {{Order Number}},ORDER,cancel_order
10098,I want assistance to cancel order {{Order Number}},ORDER,cancel_order
10099,need assistance cancelling purchase {{Order Number}},ORDER,cancel_order
10100,where can I cancel order {{Order Number}}?,ORDER,cancel_order
10101,have problems with canceling order {{Order Number}},ORDER,cancel_order
10102,where can I cancel order {{Order Number}}?,ORDER,cancel_order
10103,I can no longer pay for order {{Order Number}},ORDER,cancel_order
10104,I can't afford purchase {{Order Number}},ORDER,cancel_order
10105,"I would like to cancel purchase {{Order Number}}, I need help",ORDER,cancel_order
10106,i do not know how to cancel order {{Order Number}},ORDER,cancel_order
10107,help with cancelling purchase {{Order Number}},ORDER,cancel_order
10108,i want help cancelling purchase {{Order Number}},ORDER,cancel_order
10109,"I can no longer afford order {{Order Number}}, help me cancel it",ORDER,cancel_order
10110,need assistance canceling order {{Order Number}},ORDER,cancel_order
10111,I have problems with cancelling purchase {{Order Number}},ORDER,cancel_order
10112,I want assistance canceling purchase {{Order Number}},ORDER,cancel_order
10113,would it be possible to cancel purchase {{Order Number}},ORDER,cancel_order
10114,could you help me canceling purchase {{Order Number}}?,ORDER,cancel_order
10115,I want help to cancel purchase {{Order Number}},ORDER,cancel_order
10116,help with cancelling purchase {{Order Number}},ORDER,cancel_order
10117,assistance with canceling purchase {{Order Number}},ORDER,cancel_order
10118,cance order {{Order Number}},ORDER,cancel_order
10119,can uhelp me cancelling purchase {{Order Number}},ORDER,cancel_order
10120,how could icancel purchase {{Order Number}},ORDER,cancel_order
10121,i need assistance canceling order {{Order Number}},ORDER,cancel_order
10122,i do not knwo how to cancel order {{Order Number}},ORDER,cancel_order
10123,"I have ordered some article, cancel purchase {{Order Number}}",ORDER,cancel_order
10124,need to cancel purchase {{Order Number}},ORDER,cancel_order
10125,have problems with canceling purchase {{Order Number}},ORDER,cancel_order
10126,i no longer want purchase  {{Order Number}},ORDER,cancel_order
10127,want help to cancel purchase {{Order Number}},ORDER,cancel_order
10128,question about canceling order {{Order Number}},ORDER,cancel_order
10129,is it possible to cancel purchase {{Order Number}} ?,ORDER,cancel_order
10130,have a question about cancelling order {{Order Number}},ORDER,cancel_order
10131,I need assistance to cancel purchase {{Order Number}},ORDER,cancel_order
10132,I need assistance cancelling purchase {{Order Number}},ORDER,cancel_order
10133,help with canceling purchase {{Order Number}},ORDER,cancel_order
10134,I need help with canceling purchase {{Order Number}},ORDER,cancel_order
10135,iwant assistance canceling order {{Order Number}},ORDER,cancel_order
10136,have problems with canceling order  {{Order Number}},ORDER,cancel_order
10137,i wan help to cancel purchase {{Order Number}},ORDER,cancel_order
10138,i need help cancelling puchase {{Order Number}},ORDER,cancel_order
10139,I can no longer afford order {{Order Number}},ORDER,cancel_order
10140,"I have got to cancel purchase {{Order Number}}, how do I do it?",ORDER,cancel_order
10141,i need help with canceling order {{Order Number}},ORDER,cancel_order
10142,cancel purchase {{Order Number}},ORDER,cancel_order
10143,assistance with canceling oreder {{Order Number}},ORDER,cancel_order
10144,problems with cancelling purchase {{Order Number}},ORDER,cancel_order
10145,is it possible to cancel purchase {{Order Number}},ORDER,cancel_order
10146,I need assistance cancelling purchase {{Order Number}},ORDER,cancel_order
10147,i do not know how to cancel order {{Order Number}},ORDER,cancel_order
10148,I no longer want purchase {{Order Number}},ORDER,cancel_order
10149,can you help me cancelling purchase {{Order Number}}?,ORDER,cancel_order
10150,assistance cancelling purchase {{Order Number}},ORDER,cancel_order
10151,I need help cancelling purchase {{Order Number}},ORDER,cancel_order
10152,I don't want purchase {{Order Number}},ORDER,cancel_order
10153,"I bought some items, I need help to cancel purchase {{Order Number}}",ORDER,cancel_order
10154,could you help me cancel purchase {{Order Number}}?,ORDER,cancel_order
10155,cancel purchase {{Order Number}},ORDER,cancel_order
10156,problem with cancelling purchase {{Order Number}},ORDER,cancel_order
10157,cancel purchase {{Order Number}},ORDER,cancel_order
10158,where do i cancel purchase {{Order Number}},ORDER,cancel_order
10159,need help with cancelliing order {{Order Number}},ORDER,cancel_order
10160,I have problems with canceling purchase {{Order Number}},ORDER,cancel_order
10161,is it possible to cancel order {{Order Number}}?,ORDER,cancel_order
10162,i havegot to cancel purchase {{Order Number}},ORDER,cancel_order
10163,"I cannot pay for this product, cancel order {{Order Number}}",ORDER,cancel_order
